epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.959,1.03428,0.58279,0.97743,0.76295,0.86623,0.86952,0.65152,0.98736,0.53343,0.98915,9.50678e-05,9.50678e-05,9.50678e-05
2,246.083,1.11761,0.6516,1.01043,0.68477,0.77376,0.81757,0.55556,1.1023,0.62136,1.04224,0.000186631,0.000186631,0.000186631
3,361.548,1.17241,0.69236,1.03186,0.81364,0.67888,0.81952,0.54213,1.11252,0.63702,1.04598,0.000274419,0.000274419,0.000274419
4,475.644,1.20238,0.72623,1.04414,0.67576,0.69824,0.7772,0.53496,1.14161,0.67254,1.06053,0.000269012,0.000269012,0.000269012
5,589.444,1.2045,0.73091,1.04961,0.8137,0.67324,0.80231,0.54317,1.11853,0.65598,1.05269,0.000263349,0.000263349,0.000263349
6,701.243,1.21279,0.73733,1.05048,0.80052,0.66373,0.79482,0.52558,1.1094,0.64039,1.04882,0.000257686,0.000257686,0.000257686
7,812.264,1.20195,0.72048,1.04254,0.75974,0.68536,0.79492,0.5363,1.11391,0.63629,1.05098,0.000252023,0.000252023,0.000252023
8,926.428,1.19877,0.71767,1.04519,0.70237,0.70488,0.8043,0.55289,1.12379,0.65072,1.05336,0.00024636,0.00024636,0.00024636
9,1040.25,1.19974,0.7126,1.04308,0.71223,0.71041,0.79326,0.54566,1.11712,0.63677,1.05158,0.000240698,0.000240698,0.000240698
10,1153.8,1.17529,0.69641,1.03397,0.79445,0.64428,0.78881,0.53062,1.11061,0.6407,1.04674,0.000235035,0.000235035,0.000235035
11,1268.49,1.17476,0.69338,1.03274,0.76452,0.75934,0.80191,0.52948,1.10242,0.61727,1.04301,0.000229372,0.000229372,0.000229372
12,1380.76,1.16713,0.68131,1.0291,0.67165,0.79457,0.78927,0.54906,1.08684,0.59528,1.03833,0.000223709,0.000223709,0.000223709
13,1495.27,1.17229,0.67979,1.03154,0.79151,0.76791,0.82386,0.56484,1.07583,0.60318,1.03386,0.000218046,0.000218046,0.000218046
14,1606.05,1.15879,0.67267,1.02742,0.78874,0.75565,0.83499,0.57553,1.07019,0.58106,1.02697,0.000212384,0.000212384,0.000212384
15,1718.91,1.15149,0.67058,1.02481,0.73729,0.8178,0.85057,0.57624,1.06793,0.59101,1.02672,0.000206721,0.000206721,0.000206721
16,1832.1,1.15366,0.66227,1.01991,0.86274,0.75363,0.85739,0.60441,1.04522,0.56536,1.01899,0.000201058,0.000201058,0.000201058
17,1942.39,1.11999,0.641,1.00965,0.78436,0.73614,0.85359,0.59836,1.05075,0.56999,1.01898,0.000195395,0.000195395,0.000195395
18,2059.46,1.12813,0.64361,1.01664,0.8253,0.76093,0.83866,0.5725,1.05553,0.56968,1.02088,0.000189732,0.000189732,0.000189732
19,2173.97,1.11436,0.6452,1.00694,0.82987,0.72922,0.85452,0.60645,1.0258,0.56735,1.00833,0.00018407,0.00018407,0.00018407
20,2286.97,1.11918,0.63499,1.01527,0.77915,0.80991,0.85266,0.59107,1.03201,0.56498,1.01034,0.000178407,0.000178407,0.000178407
21,2399.1,1.10221,0.62445,1.00612,0.82226,0.78217,0.85019,0.60328,1.00722,0.54542,1.00111,0.000172744,0.000172744,0.000172744
22,2513.73,1.08417,0.61529,0.99759,0.84911,0.79659,0.86102,0.61974,1.00563,0.54351,0.99798,0.000167081,0.000167081,0.000167081
